StockSymbol, Current Price, Year Target Price, Year High, Year Low
ALEX, 40.87, 48.00, 40.87, 28.82
AHL, 45.55, 48.50, 45.55, 40.34
AHP, 16.03, 13.21, 16.03, 8.37
ANH-C, -1, -1, -1, -1
AGCO, 48.48, 48.07, 48.48, 41.91
AHS, 40.2752, 46.4300, 40.2752, 21.2400
ARR-B, -1, -1, -1, -1
AXS-C, -1, -1, -1, -1
ACCO, 9.98, 11.33, 9.98, 5.47
ANH-A, -1, -1, -1, -1
AIB, 26.28, 0, 26.28, 23.00
AYR, 21.36, 22.76, 21.36, 15.06
AIF, 14.81, 0, 14.81, 11.56
AB, 21.46, 25.00, 21.46, 16.11
AC, 31.10, 0, 31.10, 24.67
AF, 14.865, 16.570, 14.865, 13.920
AG, 17.754, 12.590, 17.754, 2.400
AIR, 24.39, 26.33, 24.39, 18.36
ABBV, 66.525, 70.610, 66.525, 45.450
AL, 28.39, 43.08, 28.39, 22.47
AAN, 24.76, 32.00, 24.76, 20.24
AIV, 45.30, 47.13, 45.30, 34.71
AP, 11.62, 0, 11.62, 8.88
AHT-E, -1, -1, -1, -1
AIY, 26.80, 0, 26.80, 22.73
AR, 27.14, 33.00, 27.14, 18.50
ARC, 3.465, 5.700, 3.465, 3.170
AT, 2.54, 2.63, 2.54, 1.57
AAT, 45.11, 47.60, 45.11, 34.07
AHT-A, -1, -1, -1, -1
ARE, 111.18, 110.35, 111.18, 70.69
AV, 10.95, 0, 10.95, 9.11
AZO, 807.765, 856.700, 807.765, 667.000
ARI, 16.37, 16.79, 16.37, 12.92
ARL, 6.7601, 0, 6.7601, 3.8900
AJG, 49.21, 52.43, 49.21, 35.96
AVAL, 7.7699, 8.8000, 7.7699, 5.5900
A, 47.43, 49.14, 47.43, 33.12
ALL-B, -1, -1, -1, -1
ARR, 23.00, 20.07, 23.00, 16.61
ARW, 65.04, 70.20, 65.04, 45.23
AXON, 15.44, 24.67, 15.44, 8.86
ABM, 37.26, 38.00, 37.26, 26.50
ALL-F, -1, -1, -1, -1
AKO.B, -1, -1, -1, -1
AJX, 13.99, 16.50, 13.99, 9.06
ALL-D, -1, -1, -1, -1
ASB, 19.225, 19.000, 19.225, 15.450
ARE-D, -1, -1, -1, -1
ABT, 45.18, 48.00, 45.18, 36.00
ASG, 4.3001, 0, 4.3001, 3.4500
ASH, 114.21, 130.63, 114.21, 88.30
AFSS, 26.16, 0, 26.16, 23.84
ASR, 154.15, 168.73, 154.15, 119.99
AMBR, 10.4386, 9.5000, 10.4386, 3.4200
ATHM, 23.42, 28.31, 23.42, 19.32
AGM-C, -1, -1, -1, -1
AKR, 36.53, 40.42, 36.53, 28.34
ACM, 35.80, 36.08, 35.80, 22.80
ACP, 12.289, 0, 12.289, 9.330
AGM-A, -1, -1, -1, -1
ANTX, 43.65, 0, 43.65, 40.72
ABR-C, -1, -1, -1, -1
ACV, 19.12, 36.93, 19.12, 14.26
ABR-A, -1, -1, -1, -1
ARCX, 15.25, 15.33, 15.25, 8.66
ADPT, 45.13, 82.75, 45.13, 37.13
ALJ, 7.445, 7.140, 7.445, 5.860
ATR, 76.70, 79.00, 76.70, 63.62
ADC, 49.23, 53.86, 49.23, 27.74
ALL, 68.7301, 74.1800, 68.7301, 54.1200
ARES, 17.3909, 17.5800, 17.3909, 10.7200
ANET, 71.35, 78.07, 71.35, 52.51
ATU, 23.955, 22.290, 23.955, 17.020
ATW, 10.172, 10.720, 10.172, 4.820
APAM, 29.06, 27.57, 29.06, 23.65
ALR, 37.44, 53.25, 37.44, 31.47
ABEV, 6.015, 5.910, 6.015, 3.860
ARP-D, -1, -1, -1, -1
ALX, 450.04, 465.00, 450.04, 350.03
ADX, 13.1894, 0, 13.1894, 10.9600
AME, 46.20, 54.50, 46.20, 42.82
AMG, 146.08, 194.75, 146.08, 115.97
AUO, 4.33, 3.83, 4.33, 2.32
AED, 25.9799, 0, 25.9799, 23.6500
AEG, 4.10, 4.72, 4.10, 3.36
AMP, 96.53, 110.11, 96.53, 76.00
AEK, 26.92, 0, 26.92, 25.04
AMT, 116.26, 127.65, 116.26, 83.07
AEM, 57.65, 56.95, 57.65, 21.22
AEP, 67.85, 72.85, 67.85, 52.29
AMX, 11.47, 14.38, 11.47, 11.02
ANFI, 8.61, 8.00, 8.61, 2.51
AES, 12.23, 13.02, 12.23, 8.22
AVD, 17.185, 16.060, 17.185, 9.630
AET, 119.06, 138.00, 119.06, 92.42
